RD_ID,Road,Junction_ID,Latitude,Longitude,Alley
2,Ratchadaphisek,,13.75621,100.56499, Ratchadaphisek Start
,,1,13.75747,100.56516, True Touch
,,2,13.75968,100.56594, Rama IX Square Alley
,,3,13.76055,100.56602, Ratchadaphisek1
,,4,13.76098,100.5665, Ratchadaphisek2
,,5,13.76206,100.56689, Ratchadaphisek3
,,6,13.76235,100.56737, Ratchadaphisek4
,,7,13.76352,100.56799,The Stock Exchange of Thailand
,,8,13.76431,100.56893, Ratchadaphisek6
,,9,13.76471,100.56901, Ratchadaphisek5
,,10,13.76526,100.56966, Ratchadaphisek8
,,11,13.76591,100.56993, Explanade Ratchada
,,12,13.76708,100.57109,MRT Station Thailand Cultural Center
,,13,13.76874,100.57209, Big C Ratchada
,,14,13.76952,100.57287, Thiam Ruam Mit Rd
,,15,13.77101,100.57313, The Street Ratchada
,,16,13.77217,100.57346, Idea Living
,,17,13.77263,100.57325, Ratchadaphisek7
,,18,13.77417,100.57355, Bangkok Chada
,,19,13.77481,100.57338, Soi Suk Ruam Kan
,,20,13.77513,100.5736, Ratchadaphisek12
,,21,13.77566,100.57341, Niam Uthit Alley
,,22,13.77731,100.57368, Tunisian Consulate Bangkok
,,23,13.77815,100.57352, Huai Kwang MRT Station
,,24,13.77848,100.57374, Huai Kwang MRT Station
,,25,13.77969,100.57356, Ratchadaphisek11
,,26,13.77991,100.57382, Regus - M9-Ratchada
,,27,13.78162,100.57365, Ratchadaphisek13
,,28,13.78177,100.57392, Ratchadaphisek14
,,29,13.78256,100.57371, Lachule Thailand
,,30,13.78301,100.57395, Life Ratchadaphisek
,,31,13.78427,100.57378, Risa Cafe and Bistro
,,32,13.78449,100.57405, Ratchadaphisek16
,,33,13.78539,100.57385,Poseidon
,,34,13.78565,100.5741, Ratchadaphisek18
,,35,13.78724,100.57394,Glas Haus Ratchada Building
,,36,13.78777,100.57422, Udom Suk Alley Yeak7
,,37,13.78948,100.57404, MRT Sutthisan
,,38,13.78953,100.57428, MRT Sutthisan
,,39,13.79142,100.57414, Sutthisan Police Station
,,40,13.79149,100.5744, Ratchadaphisek20
,,41,13.7928,100.5742, Lantana Resort
,,42,13.79339,100.57446, Born Leader School
,,43,13.7946,100.5743, Boonthavorn Ceramic
,,44,13.79487,100.57453, Boonthavorn Lifestyle Furniture
,,45,13.79569,100.57432, The SC Place
,,46,13.79584,100.57455,SILOM CORPORATION COMPANY LIMITED
,,47,13.79668,100.57438, Twelve Victoty Exchange
,,48,13.79722,100.57466, Ratchadaphisek22
,,49,13.79732,100.5744,"THAI OUTDOOR SPORT CO., LTD"
,,50,13.79826,100.57468, Opanayikul Company
,,51,13.79901,100.57451, Ratchadaphisek19
,,52,13.7994,100.57474, Ratchadaphisek28
,,53,13.80161,100.57461, PEACE TECHNOLOGY
,,54,13.80219,100.57485, ETON RATCHADA
,,55,13.80343,100.5747, Podstel Hostel Bangkok
,,56,13.80414,100.57494, Number 777 Cafe
,,57,13.80456,100.57478, Food Bazaar
,,58,13.80509,100.57502, Pawn Shop
,,59,13.80531,100.57482,Ratchada - Lat Phrao Intersection
,,60,13.80602,100.57504, High House
,,61,13.80617,100.57486, The Connection Seminar Center
,,62,13.80718,100.57512,62
,,63,13.80739,100.57501,63
,,64,13.8081,100.57514, Griffi ONI the Japanese
,,65,13.80898,100.57509,65
,,66,13.80915,100.57524, Classy clinic
,,67,13.81008,100.57508,67
,,68,13.81115,100.57533, Government office
,,69,13.81194,100.57514,69
,,70,13.81232,100.57538, Sign-Sub Intertreade
,,71,13.81298,100.57519,71
,,72,13.81464,100.5755, Export Training Department
,,73,13.81519,100.5753, Court of Justice Food Center
,,74,13.81561,100.57552, Ratchadaphisek32
,,75,13.81726,100.57539, Khang San Aya Alley
,,76,13.8175,100.57562, Ratchada One Office Building
,,77,13.81837,100.57539,77
,,78,13.81865,100.57563,78
,,79,13.81956,100.57519, Government office
,,80,13.82133,100.57487, Soi Suea Yai Uthit
